log_buy_price,sq_mt_built,n_rooms,n_bathrooms,neighborhood,has_lift,has_parking,has_pool,has_garden,has_storage_room,is_floor_under
11.51293546492023,61.0,3,1.0,131,0.0,0,0,0,0,0.0
11.786008995353765,71.0,3,1.0,134,0.0,0,0,0,0,0.0
11.472113887062386,87.0,3,1.0,133,0.0,0,0,0,0,0.0
11.944714374881176,60.0,2,1.0,134,0.0,0,0,0,0,0.0
11.896151780740423,78.0,4,1.0,132,1.0,0,0,0,0,0.0
11.434974734252892,52.0,1,1.0,133,0.0,0,0,0,0,0.0
12.524530013005734,125.0,3,3.0,131,1.0,0,1,0,1,0.0
11.336200219573199,75.0,0,1.0,134,1.0,0,0,0,0,0.0
12.491713886902158,97.0,2,2.0,131,1.0,0,1,0,0,1.0
12.33830194079375,93.0,2,2.0,131,1.0,0,1,0,0,0.0
12.05467400868968,103.0,4,2.0,132,1.0,0,0,0,1,0.0
12.33830194079375,83.0,2,2.0,131,1.0,1,1,0,1,0.0
11.350418300109132,45.0,2,1.0,133,0.0,0,0,0,0,0.0
12.604852121186608,120.0,3,2.0,133,1.0,1,1,0,1,0.0
11.842236406331555,74.0,3,1.0,132,0.0,0,0,0,1,0.0
12.515397562803473,125.0,3,2.0,131,1.0,0,1,0,1,0.0
12.524530013005734,126.0,4,2.0,131,1.0,1,1,0,1,1.0
12.574185427296195,158.0,3,2.0,131,1.0,1,1,0,1,0.0
11.652696102959753,65.0,2,1.0,133,0.0,0,0,0,0,0.0
12.095146671399466,108.0,3,2.0,132,1.0,0,0,0,0,0.0
11.719947764402807,62.0,2,1.0,134,1.0,0,0,0,0,1.0
11.402005077384885,51.0,2,1.0,133,0.0,0,0,0,0,0.0
12.574185427296195,112.0,3,2.0,131,1.0,1,1,0,1,0.0
12.284324519849225,109.0,3,2.0,131,1.0,1,1,0,1,0.0
12.242905895575523,107.0,3,2.0,131,1.0,1,1,0,1,0.0
12.000240876834559,76.0,2,2.0,131,1.0,1,1,0,1,0.0
12.230765258120545,105.0,3,2.0,131,1.0,1,1,0,1,0.0
12.305374846604035,109.0,3,2.0,131,1.0,1,1,0,1,0.0
12.293437709965024,108.0,3,2.0,131,1.0,1,1,0,1,0.0
12.353871768285705,109.0,3,2.0,131,1.0,1,1,0,1,1.0
12.00394422143105,76.0,2,2.0,131,1.0,1,1,0,1,0.0
11.987667848563138,76.0,2,2.0,131,1.0,1,1,0,1,0.0
12.288435735955296,108.0,3,2.0,131,1.0,1,1,0,1,0.0
12.014966618003951,76.0,2,2.0,131,1.0,1,1,0,1,0.0
12.300364124817092,109.0,3,2.0,131,1.0,1,1,0,1,0.0
12.349384800176438,108.0,3,2.0,131,1.0,1,1,0,1,1.0
12.272436063031021,108.0,3,2.0,131,1.0,1,1,0,1,0.0
12.349090152365099,111.0,2,2.0,131,1.0,1,1,0,1,0.0
12.362178555505716,115.0,3,2.0,131,1.0,1,1,0,1,0.0
12.34926348512109,115.0,3,2.0,131,1.0,1,1,0,1,0.0
12.405628173970108,117.0,3,2.0,131,1.0,1,1,0,1,0.0
12.402744903338567,117.0,3,2.0,131,1.0,1,1,0,1,0.0
12.408192744644644,117.0,3,2.0,131,1.0,1,1,0,1,0.0
12.297904054147782,118.0,3,2.0,131,1.0,1,1,0,1,0.0
12.399952151157857,115.0,3,2.0,131,1.0,1,1,0,1,0.0
11.775297421715827,97.0,4,1.0,134,0.0,0,0,0,0,0.0
12.435476559815198,106.0,3,2.0,131,1.0,0,1,0,0,0.0
12.369054217992186,103.0,3,2.0,131,1.0,0,1,0,0,0.0
12.368076692498686,103.0,3,2.0,131,1.0,0,1,0,0,0.0
12.372552719326773,103.0,3,2.0,131,1.0,0,1,0,0,0.0
12.44788484809936,114.0,3,2.0,131,1.0,0,1,0,0,0.0
11.976665770490767,150.0,2,1.0,134,1.0,1,0,0,1,0.0
