sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,product,neighborhood
80,,2,1,,,3,0,736,148000,1850,0,False,1999,0,1,1,1,1,1,0,0,1,0,1,1,1,,1,1,0,0,0,0,1,piso,134
108,,2,1,,,4,0,933,205000,1898,0,False,2002,0,1,1,0,1,1,0,1,1,0,1,0,0,,1,1,0,0,0,0,1,duplex,131
80,,3,2,,,4,0,979,220000,2750,0,False,2000,0,1,1,1,1,1,0,1,0,0,0,1,1,,1,1,0,0,0,1,1,piso,133
16,,3,1,,,1,0,600,114000,7125,0,False,1970,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,0,1,1,piso,133
54,50,2,1,,,3,0,493,89900,1665,0,False,1964,,,0,1,0,1,0,0,1,0,0,0,0,,0,,,0,0,1,1,piso,134
70,,2,2,,,4,0,948,210000,3000,0,False,2003,0,1,1,1,1,1,0,1,0,0,1,1,1,,1,1,0,0,1,1,0,piso,133
99,,2,2,,,entreplanta exterior,1,725,145000,1465,0,False,2007,0,1,0,1,1,1,0,0,0,0,0,0,0,,0,,,0,1,1,0,piso,134
123,,4,2,,,3,0,1135,275000,2236,0,,,,,1,0,1,1,0,0,1,0,0,0,1,,0,,,,,,,piso,133
64,,3,1,,,5,0,557,104000,1625,0,False,,0,1,1,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,132
107,,3,2,,,6,0,1005,228629,2137,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
76,,2,2,,,6,0,813,169021,2224,0,True,,0,1,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
109,,3,2,,,5,0,988,223022,2046,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
108,,3,2,,,5,0,979,220072,2038,0,True,,0,1,0,0,1,1,0,1,1,0,1,0,0,,1,1,0,,,,,piso,131
103,79,3,2,,,6,0,1026,235718,2289,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
103,,3,2,,,1,0,1052,245000,2379,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
143,,3,2,,,bajo,1,1094,260000,1818,0,True,,,,0,0,1,1,0,1,0,0,1,0,1,,1,1,0,,,,,piso,131
99,,3,2,,,6,0,1024,235000,2374,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
100,,3,2,,,3,0,1024,235000,2350,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
176,,2,2,,,6,0,1108,265000,1506,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
87,,2,2,,,2,0,884,190000,2184,0,True,,,,0,0,1,1,0,1,0,0,1,0,0,,1,1,0,,,,,piso,131
106,81,3,2,,,4,0,1084,256115,2416,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
113,84,3,2,,,bajo,1,1100,261989,2318,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
115,86,3,2,,,1,0,1131,273353,2377,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
129,98,3,2,,,7,0,1194,297621,2307,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
115,89,3,2,,,6,0,1148,279778,2433,0,True,,,,0,0,1,1,0,1,1,0,0,0,1,,0,,,,,,,piso,131
110,,2,2,,,bajo,1,686,135000,1227,1,False,,0,1,1,0,0,1,0,0,1,0,1,0,0,,0,,,,,,,piso,134
90,,3,2,,,2,0,901,195000,2167,0,False,1985,0,1,1,0,1,1,0,0,1,0,1,0,0,,0,,,,,,,piso,132
60,,2,1,,,1,0,654,126900,2115,1,False,,,,0,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,piso,133
54,,2,1,,,,,691,136400,2526,0,,,,,0,0,0,,0,0,1,0,0,0,0,,0,,,,,,,piso,132
80,,3,1,,,bajo,1,725,145000,1812,0,False,,0,1,1,1,0,1,0,0,1,0,0,0,0,,0,,,0,0,0,1,piso,134
73,45,2,1,,,1,0,656,127500,1747,0,False,1999,0,1,0,1,1,1,0,0,0,0,0,1,0,,0,,,0,1,0,1,piso,134
122,90,3,2,,,bajo,1,847,179000,1467,0,False,1999,0,1,0,0,1,1,0,0,0,0,0,0,0,,1,1,0,0,1,1,0,piso,134
98,86,3,2,,,bajo,1,1111,266122,2716,0,False,2020,0,1,0,1,1,1,0,1,1,0,1,1,1,,1,1,0,0,1,0,0,piso,131
97,83,3,2,,,bajo,1,1100,261989,2701,0,False,2020,0,1,1,1,1,1,0,1,1,0,1,1,1,,1,1,0,,,,,piso,131
111,98,3,2,,,7,0,1194,297621,2681,0,False,2020,0,1,1,1,1,1,0,1,1,0,1,1,1,,1,1,0,,,,,atico,131
