sq_mt_built,n_bathrooms,n_rooms,rent_price,n_bathrooms,sq_mt_built,buy_price_by_area,has_garden,has_pool,neighborhood,has_pool,buy_price
58.0,2.0,2,800,2.0,58.0,2852,0,1,132,1,165435
79.0,2.0,3,925,2.0,79.0,2565,0,1,132,1,202629
60.0,2.0,2,796,2.0,60.0,2737,0,1,132,1,164242
121.0,2.0,3,1094,2.0,121.0,2149,0,1,133,1,260000
126.0,2.0,3,1187,2.0,126.0,2340,0,1,134,1,294900
134.0,2.0,4,1250,2.0,134.0,2387,0,1,134,1,319900
111.0,2.0,3,1094,2.0,111.0,2341,0,1,134,1,259900
122.0,2.0,3,1164,2.0,122.0,2343,0,1,134,1,285900
125.0,2.0,3,1174,2.0,125.0,2319,0,1,134,1,289900
102.0,2.0,2,1066,2.0,102.0,2450,0,1,134,1,249900
104.0,2.0,3,1131,2.0,104.0,2628,0,1,131,1,273352
66.0,1.0,3,561,1.0,66.0,1589,0,0,135,0,104900
95.0,1.0,2,762,1.0,95.0,1632,0,0,134,0,155000
74.0,1.0,3,539,1.0,74.0,1351,0,0,135,0,100000
97.0,1.0,2,948,1.0,97.0,2165,0,1,131,1,210000
90.0,2.0,2,1038,2.0,90.0,2667,0,1,134,1,240000
130.0,2.0,4,1086,2.0,130.0,1977,0,1,134,1,257000
49.0,1.0,2,466,1.0,49.0,1714,0,0,134,0,84000
151.0,2.0,3,1235,2.0,151.0,2079,0,1,133,1,314000
69.0,1.0,3,570,1.0,69.0,1551,0,0,135,0,107000
170.0,2.0,3,1262,2.0,170.0,1912,0,1,131,1,325000
48.0,1.0,2,489,1.0,48.0,1854,0,0,133,0,89000
98.0,2.0,3,1161,2.0,98.0,2907,0,1,133,1,284900
50.0,1.0,1,686,1.0,50.0,2700,0,1,134,1,135000
136.0,2.0,3,1009,2.0,136.0,1691,0,0,134,0,230000
80.0,1.0,3,791,1.0,80.0,2038,0,0,132,0,163000
95.0,1.0,3,868,1.0,95.0,1947,0,0,134,0,185000
56.0,1.0,3,447,1.0,56.0,1429,0,0,132,0,80000
43.0,1.0,1,466,1.0,43.0,1953,0,0,133,0,84000
72.0,1.0,3,625,1.0,72.0,1665,0,0,134,0,119900
100.0,2.0,4,762,2.0,100.0,1549,0,0,132,0,154900
70.0,1.0,3,625,1.0,70.0,1713,0,0,132,0,119900
60.0,1.0,2,446,1.0,60.0,1332,0,0,135,0,79900
